,y,x,mass,size,ecc,signal,raw_mass,ep,frame,In_Cell,In_Nucleus
0,104.38375583995494,354.09419884166726,3016.2605518807627,1.4119406711338551,0.17215753103000409,384.7561824861209,37111.0,0.18583948149507684,0,1,0
1,146.8834816204469,273.39415272024814,1063.2985265902823,1.7309995323785579,0.6203025170951575,117.51446464721623,61573.0,0.06335332557095863,0,0,1
2,150.11648089905384,377.4035543682805,3001.694683363566,1.4447627106826575,0.11210572608269397,360.77928163205024,41582.0,0.13731604237421652,0,1,0
3,156.67263960935185,423.98985639520777,2564.2939957485114,1.4857713263679557,0.20089219478069928,304.0760836484943,38645.0,0.1657443967863041,0,1,0
4,160.34127672006622,267.70108584506016,1014.0313279243193,1.5102899720835115,0.23698687132623933,116.63557495363621,68813.0,0.05301212746681678,0,0,1
5,161.3758113657438,156.63152689783072,4323.762036140038,1.5247968281816857,0.22980138839485073,505.42082479909027,47349.0,0.10272074720279867,0,1,0
6,162.2678647089729,69.16767884481756,1748.0128488796968,1.5941667057232396,0.01420319041405954,175.7483132207149,30382.0,0.3969521684077013,0,0,0
7,164.16797714673606,351.9345372779726,3491.4633714848546,1.4195005806285523,0.20437337207883582,448.1349920748464,55483.0,0.0757893831147818,0,1,0
8,169.15409081904426,281.0621895475189,2691.8317529685783,1.6533645531353136,0.09101146784203888,249.7132997927863,84233.0,0.03933660042274312,0,0,1
9,173.11409096281898,223.91186088966523,1503.8098912107043,1.6493078671221704,0.24791007243603905,157.59775977352302,66772.0,0.05556918134042594,0,0,1
10,177.56204547414413,333.4196441403892,1030.6413556164719,1.8123152252326598,0.34123501379283694,96.08535638801797,58017.0,0.07006652227080815,0,0,1
11,181.76853667488072,387.0558852828606,1883.4902388372732,1.5903420566596065,0.05376599150490524,185.17909588778141,39524.0,0.15607396564155745,0,1,0
12,181.44110524164864,240.74434286406225,1304.845064848342,1.5646423587738092,0.12840851720543675,154.96109069278296,77587.0,0.044257336546317715,0,0,1
13,183.90275289709086,153.10240401275718,1681.3159838185793,1.6637071366129048,0.2343942578829919,159.9085484060817,39911.0,0.15216515805103994,0,1,0
14,183.68195979574688,367.8177208971624,3819.4669801619375,1.3671218092176154,0.19302125874357567,534.6118128240627,51171.0,0.08802352529281263,0,1,0
15,185.48652006002018,298.0414668044179,1605.820346656565,1.8005911535386259,0.04630147322834958,159.55304246261116,81576.0,0.04116646784450195,0,0,1
16,189.35051381131566,208.12111266726288,3511.3914546493993,1.3858133964490522,0.1023038381297049,460.02469085091775,60650.0,0.0649690423093247,0,0,1
17,188.88769256545243,307.17379610768677,1119.873347427585,1.6187970430973548,0.11734199683419388,119.40062118062953,74002.0,0.04745983002225094,0,0,1
18,194.1158696281008,271.5480685789338,1263.1422426462248,1.6652604085217162,0.4235436541497789,154.14145198978136,85590.0,0.03846340383922882,0,0,1
19,198.17897542993657,379.4958786210388,1248.359120496907,1.6293438371703592,0.17950957853319216,140.029841067019,40738.0,0.14443512765365607,0,1,0
20,199.04588815746965,418.2577619605137,3820.88900393582,1.4454430163645682,0.15052957465899064,482.3228136385996,43049.0,0.12648022533009073,0,1,0
21,200.87755307172725,296.8238514527715,1473.69063766667,1.370431482710663,0.08952069073103497,206.09469556196663,77211.0,0.044572786556578724,0,0,1
22,201.3695187879597,367.57698118473667,3255.111170067504,1.4829797109094454,0.11961211295215395,386.5435873685702,51143.0,0.08811588842553487,0,1,0
