 ,Label,Area,Mean,X,Y
45,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,11,46410.2,494.9,245.4
46,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,45874.0,579.2,251.2
47,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,37354.0,35.5,254.5
48,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,42269.7,273.5,264.0
49,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,433.5,269.5
50,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,10,46660.4,527.8,273.2
51,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,45406.0,417.5,273.2
52,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34733.0,68.5,282.5
53,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,46529.2,447.4,283.4
54,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,46775.4,298.6,285.6
55,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,35388.5,430.0,299.0
56,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,24.5,318.5
57,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,11,46588.9,126.1,319.6
58,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,33422.0,340.5,318.5
59,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,52296.4,365.7,318.9
60,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,46092.3,357.0,323.5
61,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,37027.0,428.5,329.0
62,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,46693.2,65.0,333.0
63,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,38828.8,227.0,336.0
64,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,11,45576.1,259.0,345.1
65,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,45546.0,527.0,345.0
66,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,164.5,350.5
67,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,42597.0,82.2,358.5
68,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,43252.5,189.0,362.0
69,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,38009.5,491.0,364.0
70,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,13,41941.8,121.1,366.1
71,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,35716.0,542.5,374.0
72,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,46019.6,594.5,377.5
73,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,39320.5,546.0,378.5
74,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38665.0,105.5,383.5
75,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,44891.0,378.5,393.0
76,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,40413.0,537.2,394.8
77,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,49431.4,335.5,397.2
78,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,44301.4,280.9,404.7
79,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,45382.5,325.0,409.5
80,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36044.0,161.5,414.5
81,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,43989.8,365.0,418.5
82,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,33422.0,165.5,432.5
83,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,47447.0,8.5,434.5
84,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,45801.2,609.2,443.6
85,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,34296.0,259.8,451.2
86,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,37354.0,355.5,450.5
87,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,459.5,454.5
88,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,38337.5,285.0,455.5
89,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,37573.0,516.7,461.7
90,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,46857.0,261.0,468.0
91,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,35170.0,69.8,469.8
92,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,41723.7,454.8,472.2
93,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,37354.0,291.5,479.5
94,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,49150.8,372.7,479.9
95,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,38337.5,283.0,481.5
96,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,38884.0,464.2,486.2
97,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,45546.3,515.5,486.0
98,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34733.0,575.5,485.5
99,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,38228.3,434.8,488.2
100,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38665.0,234.5,490.5
