,image,cellid,transcnt,treat,labelid_cell,area_cell,major_axis_length_cell,minor_axis_length_cell,mean_intensity-1,mean_intensity-2,mean_intensity-3,zsum_intensity_0,zsum_intensity_1,zsum_intensity_2,zsum_intensity_3,labelid_nuc,cell_linkid,area_nuc,mean_intensity-0,eccentricity,major_axis_length_nuc,minor_axis_length_nuc
28,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,6,39,C+A+Puro_48h,6,63687,373.3442568131069,247.14595845555823,4807.06641857836,11126.124326785686,2641.632625182533,277520731.0,803774516.0,4270791365.0,186386190.0,7,6,21837,4118.950496863122,0.8774761547491792,243.2025682346511,116.64488003470524
29,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 16_c405_c488_c561_c640,1,9,C+A+Puro_48h,1,58316,389.2771878918512,201.51776129454956,4495.341467178819,15866.364565470883,2802.6582241580354,255188295.0,602554291.0,5445537372.0,277820692.0,1,1,16095,4883.177322149736,0.8278415317519422,197.8920433745353,111.0099222319786
30,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 16_c405_c488_c561_c640,2,31,C+A+Puro_48h,2,171155,518.5986751726726,433.96729373369374,3359.9784873360404,16016.208354999852,1900.9342701060443,1485034197.0,621278723.0,12363134186.0,55047559.0,2,2,23888,9366.231371399866,0.7131058405730863,209.46853572182596,146.8492551999381
31,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 16_c405_c488_c561_c640,4,12,C+A+Puro_48h,4,156965,497.8688318584644,409.5941773004018,3321.996451438218,14362.092663969675,1704.31321632211,696113962.0,538016887.0,9953222808.0,18302139.0,3,4,27615,5774.972152815499,0.7515097129782942,232.00189427365643,153.05675967501665
32,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 17_c405_c488_c561_c640,1,12,C+A+Puro_48h,1,89301,401.9599995375741,300.9859748476511,2705.867336312024,15602.59215462313,2495.1761234476658,487299981.0,176926853.0,5888468440.0,157345205.0,1,1,16504,6075.037990790112,0.5724242247516785,161.15991863899646,132.1443041443944
33,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 17_c405_c488_c561_c640,2,15,C+A+Puro_48h,2,114379,420.01666175520296,360.8630267017286,3378.064478619327,15485.049738151234,3002.970396663723,808305639.0,449019739.0,8253929871.0,511637473.0,2,2,25725,6538.546705539358,0.4595664416976856,193.33556573927936,171.7097052491937
34,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 17_c405_c488_c561_c640,3,14,C+A+Puro_48h,3,155451,599.1355802225033,405.090684543905,2065.3945809290385,10206.969302223852,3922.5083338158006,1018102734.0,142790614.0,6737045141.0,1511798364.0,3,3,24759,7472.207116604063,0.708522815699516,212.7892765399801,150.16281882373917
35,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 17_c405_c488_c561_c640,4,2,C+A+Puro_48h,4,60817,386.246628937516,215.4167670891838,3521.7426377493134,11392.6306295937,2768.434006938849,427540029.0,272647858.0,2942068531.0,169013550.0,4,4,16999,5443.456909229954,0.8096452651476803,194.44051858530247,114.12093942565149
36,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 17_c405_c488_c561_c640,5,7,C+A+Puro_48h,5,114540,516.369769121317,304.07254107233064,2058.216247599092,8053.959341714685,2527.9662214073687,648756413.0,103326164.0,3442142218.0,278550043.0,5,5,23912,5713.2178822348615,0.7647632583054254,218.5251514661943,140.79824264332402
37,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 18_c405_c488_c561_c640,1,1,C+A+Puro_48h,1,55681,409.9606901697416,200.21067366727195,3459.343187083565,12716.506276826924,1348.7604389288986,261433695.0,242934558.0,2943763353.0,156823.0,1,1,16328,4911.840825575699,0.8086666250502151,191.20628209777445,112.48038271870196
38,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 18_c405_c488_c561_c640,2,8,C+A+Puro_48h,2,67565,471.84506526693247,199.05181490089404,3345.229630725968,17949.07567527566,1854.717457263376,636088543.0,314501553.0,6954382170.0,17530625.0,3,2,16301,7901.240966811852,0.903821746236258,229.64285426841397,98.26628135796942
39,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 18_c405_c488_c561_c640,3,15,C+A+Puro_48h,3,116384,467.3641165734646,323.1258810110438,3560.775544748419,14510.131598845202,1779.2041088122078,977357928.0,495377795.0,8276952737.0,18841841.0,2,3,25037,7661.465830570755,0.2640055024838553,183.88668093116664,177.3625973331217
40,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 18_c405_c488_c561_c640,4,4,C+A+Puro_48h,4,52626,377.01856474790935,195.18583104598545,2836.054516778778,10120.28109679626,1499.6479876866947,141778113.0,128326179.0,2079115505.0,525183.0,4,4,8202,5008.283223603999,0.8608863400547234,149.11711702906007,75.87038902224486
41,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 18_c405_c488_c561_c640,5,9,C+A+Puro_48h,5,99531,533.2025135696896,244.694552793558,3515.812570957792,12910.114587414975,1836.2965407762408,850632317.0,408729735.0,6147091124.0,19117903.0,5,5,30071,6475.225433141565,0.8607949995816566,275.30756528407426,140.11829009318618
42,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 18_c405_c488_c561_c640,6,8,C+A+Puro_48h,6,44306,391.7832861249185,162.96661953028593,3781.8938067078952,15645.816616259648,2305.753577393581,339464378.0,268847012.0,4186150950.0,64858717.0,6,6,23758,4720.346830541292,0.8653782172091395,252.1695599128164,126.36703041296128
43,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 19_c405_c488_c561_c640,1,21,C+A+Puro_48h,1,171449,578.6509384598655,389.1402953690943,3422.065465532024,11916.89349019242,4325.684209298392,879916011.0,703202666.0,9337355346.0,2378144593.0,1,1,28210,6629.353952499114,0.4799173297414061,203.47155707631367,178.50838787744385
44,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 19_c405_c488_c561_c640,2,17,C+A+Puro_48h,2,111129,473.0592673814417,320.3989268654338,3001.6634721809787,10262.903013614809,4146.517389700258,930056525.0,326764027.0,5362235611.0,1329815744.0,2,2,28016,7173.334273272416,0.375584909590342,197.9496740461695,183.45738023990248
45,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 19_c405_c488_c561_c640,3,2,C+A+Puro_48h,3,148705,662.1392133618948,343.0659589713213,2527.194055344474,7048.604539188326,2276.970310345987,367334084.0,246777674.0,3370070569.0,184451186.0,3,3,5867,4718.102096471792,0.9077017019776068,139.2805194221121,58.44433987655808
46,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 19_c405_c488_c561_c640,3,2,C+A+Puro_48h,3,148705,662.1392133618948,343.0659589713213,2527.194055344474,7048.604539188326,2276.970310345987,367334084.0,246777674.0,3370070569.0,184451186.0,4,3,21277,4199.496263570993,0.6200465680107973,187.4398435453992,147.05874255617584
